"","Artists_names","titles","links"
"175","Sheila Arnot","Snow Covered Landscape","https://collections.ed.ac.uk/art/record/21479?highlight=*:*"
"176","Unknown","Unknown","https://collections.ed.ac.uk/art/record/53542?highlight=*:*"
"177","Eduardo Luigi Paolozzi KBE, RA","Krokadeel (1959)","https://collections.ed.ac.uk/art/record/22035?highlight=*:*"
"178","Paul Feiler","Aduton 51 (1977)","https://collections.ed.ac.uk/art/record/21666?highlight=*:*"
"179","C Byron","Standing Woman (1959)","https://collections.ed.ac.uk/art/record/20915?highlight=*:*"
"180","Louisa Burnett Hall","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21958?highlight=*:*"
"181","Unknown","Seated Female Nude with Striped Floor Drape","https://collections.ed.ac.uk/art/record/22642?highlight=*:*"
"182","Jennifer M. Hughes","Untitled (1969)","https://collections.ed.ac.uk/art/record/99837?highlight=*:*"
"183","Kate McKenzie","Untitled (1991-1992)","https://collections.ed.ac.uk/art/record/21993?highlight=*:*"
"184","Fiona Hewitt","Unknown","https://collections.ed.ac.uk/art/record/53599?highlight=*:*"
"185","Ann F Ward","La Messe de Minuit - Église St Eustache (1963)","https://collections.ed.ac.uk/art/record/99342?highlight=*:*"
"186","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21621?highlight=*:*"
"187","Emma Gillies","Espresso Cup","https://collections.ed.ac.uk/art/record/53693?highlight=*:*"
"188","Alistair T. B. Burns","Falling Figure in an Autumn Valley (1968)","https://collections.ed.ac.uk/art/record/22589?highlight=*:*"
"189","Unknown","Unknown","https://collections.ed.ac.uk/art/record/50382?highlight=*:*"
"190","Andrew Arnott","Untitled (1986)","https://collections.ed.ac.uk/art/record/21626?highlight=*:*"
"191","Joanne Leonie Milne","Untitled (1989)","https://collections.ed.ac.uk/art/record/21909?highlight=*:*"
"192","Jean I. Beattie","Portrait of a Man (1959)","https://collections.ed.ac.uk/art/record/20920?highlight=*:*"
"193","Richard McNeill","Portrait of a Young Woman (1958)","https://collections.ed.ac.uk/art/record/20890?highlight=*:*"
"194","Jane V Hyslop","San Gimignano from the Fields (1989)","https://collections.ed.ac.uk/art/record/21693?highlight=*:*"
"195","Joanne Leonie Milne","Architectural Scene","https://collections.ed.ac.uk/art/record/21451?highlight=*:*"
"196","Patrick W. Barclay","Unknown (1950)","https://collections.ed.ac.uk/art/record/50620?highlight=*:*"
"197","Andrea Bain","Untitled (2003)","https://collections.ed.ac.uk/art/record/99928?highlight=*:*"
"198","Geoffrey J Roper","Barges, 1 Jan '63 (1963)","https://collections.ed.ac.uk/art/record/99369?highlight=*:*"
"199","Gordon Bryce","High St. Harlesden (1964-1965)","https://collections.ed.ac.uk/art/record/99283?highlight=*:*"
"200","Emma Gillies","Teacup","https://collections.ed.ac.uk/art/record/53638?highlight=*:*"
"201","Emma Gillies","Cow","https://collections.ed.ac.uk/art/record/53752?highlight=*:*"
"202","Renny Tait","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21645?highlight=*:*"
"203","Scott Laverie","Untitled (2003)","https://collections.ed.ac.uk/art/record/93377?highlight=*:*"
"204","George Hamilton","Seated Female Nude (1953)","https://collections.ed.ac.uk/art/record/20931?highlight=*:*"
"205","Wilhelmina Barns-Graham CBE HRSA HRSW","Water Dance (Porthmeor) IV (2006)","https://collections.ed.ac.uk/art/record/54753?highlight=*:*"
"206","Unknown","Part of petticoat","https://collections.ed.ac.uk/art/record/100004?highlight=*:*"
"207","Paul Duffus","Body Print (1982)","https://collections.ed.ac.uk/art/record/21965?highlight=*:*"
"208","Michael Douleny","Portrait of a Man","https://collections.ed.ac.uk/art/record/21480?highlight=*:*"
"209","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21713?highlight=*:*"
"210","Lesley M. Johns","Zoo 9th May (1962-1963)","https://collections.ed.ac.uk/art/record/99330?highlight=*:*"
"211","George Glen","Game Birds","https://collections.ed.ac.uk/art/record/53607?highlight=*:*"
"212","Rhoda Rosenburg","Bubbie's Bay (2006)","https://collections.ed.ac.uk/art/record/99878?highlight=*:*"
"213","John Boyd","Portrait of a Woman (1958)","https://collections.ed.ac.uk/art/record/20957?highlight=*:*"
"214","Unknown","Angel Playing Pipes","https://collections.ed.ac.uk/art/record/20608?highlight=*:*"
"215","Ahjae Lim","Untitled (2002)","https://collections.ed.ac.uk/art/record/99936?highlight=*:*"
"216","Unknown","Unknown","https://collections.ed.ac.uk/art/record/50419?highlight=*:*"
"217","Wilhelmina Barns-Graham CBE HRSA HRSW","Vision in Time III (2006)","https://collections.ed.ac.uk/art/record/54752?highlight=*:*"
"218","Unknown","Unknown (Unknown)","https://collections.ed.ac.uk/art/record/21807?highlight=*:*"
"219","Fiona C MacCormick","Reclining Female Nude (1955)","https://collections.ed.ac.uk/art/record/21014?highlight=*:*"
"220","Alistair Banks","Orange Abstract (1987)","https://collections.ed.ac.uk/art/record/22724?highlight=*:*"
"221","Fiona Carlisle","Untitled (1974)","https://collections.ed.ac.uk/art/record/21594?highlight=*:*"
"222","Elizabeth Blackadder","Seated Man and Woman","https://collections.ed.ac.uk/art/record/20775?highlight=*:*"
"223","Unknown","Armorial panel from left tower of Mar's Wark, Stirling (Pre 1893)","https://collections.ed.ac.uk/art/record/20555?highlight=*:*"
"224","Alexander S Campbell","Portrait of a Man (1955)","https://collections.ed.ac.uk/art/record/21316?highlight=*:*"
"225","Jacqueline A N Stieger","Self Portrait","https://collections.ed.ac.uk/art/record/22699?highlight=*:*"
"226","Kirkland Main","Untitled","https://collections.ed.ac.uk/art/record/99988?highlight=*:*"
"227","A Wrever","Standing Male Nude","https://collections.ed.ac.uk/art/record/20859?highlight=*:*"
"228","Sir William George Gillies","Temple Cottage, Temple, View of Garden","https://collections.ed.ac.uk/art/record/99221?highlight=*:*"
"229","Ernest S. Lumsden","Evening Jaipur No.2","https://collections.ed.ac.uk/art/record/21750?highlight=*:*"
"230","David Michie","Standing Male Nude with Staff (Circa 1952)","https://collections.ed.ac.uk/art/record/21035?highlight=*:*"
"231","Peter G. Collins","March Morning (Circa 1956)","https://collections.ed.ac.uk/art/record/22648?highlight=*:*"
"232","Richard Wright","Charioteer facing right","https://collections.ed.ac.uk/art/record/20660?highlight=*:*"
"233","Marjorie Wallace","Self Portrait (Nov 1981)","https://collections.ed.ac.uk/art/record/20771?highlight=*:*"
"234","Emma Gillies","Bank of the Amstel, Amsterdam (30 Aug 1948)","https://collections.ed.ac.uk/art/record/50448?highlight=*:*"
"235","Bridget Steed","Teacup","https://collections.ed.ac.uk/art/record/53650?highlight=*:*"
"236","Roselyn M Underwood","Self portrait (2006)","https://collections.ed.ac.uk/art/record/99857?highlight=*:*"
"237","Unknown","Untitled - Leaning Semi-Nude Male (1962)","https://collections.ed.ac.uk/art/record/99443?highlight=*:*"
"238","Sigrid Gordon","Apollo Sauroktonos","https://collections.ed.ac.uk/art/record/20588?highlight=*:*"
"239","Margaret Clyde","Interior Scene","https://collections.ed.ac.uk/art/record/21462?highlight=*:*"
"240",NA,"Metope 5, south entablature, Parthenon (1837)","https://collections.ed.ac.uk/art/record/20650?highlight=*:*"
"241",NA,"Unknown (Unknown)","https://collections.ed.ac.uk/art/record/21879?highlight=*:*"
"242","Sheena Page","Portrait of a Young Man (1948)","https://collections.ed.ac.uk/art/record/21070?highlight=*:*"
"243","Eileen Duncan","Standing Female Nude (1953)","https://collections.ed.ac.uk/art/record/20929?highlight=*:*"
"244","Frances Walker","Portrait of Seated Man in Uniform (1952)","https://collections.ed.ac.uk/art/record/20848?highlight=*:*"
"245","Unknown","St. George (Pre 1837)","https://collections.ed.ac.uk/art/record/20590?highlight=*:*"
"246","Ruth Stiven","Unknown (1975)","https://collections.ed.ac.uk/art/record/50398?highlight=*:*"
"247","Carole V Danielson","Portrait of a Woman (1964)","https://collections.ed.ac.uk/art/record/21346?highlight=*:*"
"248","Unknown","Untitled","https://collections.ed.ac.uk/art/record/102671?highlight=*:*"
"249","Anna Warsop","Aerial (2007)","https://collections.ed.ac.uk/art/record/99904?highlight=*:*"
"250","Alistair Fairweather","South Frieze of the Parthenon Frieze (1836-1837)","https://collections.ed.ac.uk/art/record/20691?highlight=*:*"
"251",NA,"Unknown (1952)","https://collections.ed.ac.uk/art/record/50422?highlight=*:*"
"252","Bull","Still Life with Teapot","https://collections.ed.ac.uk/art/record/20757?highlight=*:*"
"253","Sheila Turnbull","Unknown (1947)","https://collections.ed.ac.uk/art/record/50455?highlight=*:*"
"254","Emma Gillies","Saucer","https://collections.ed.ac.uk/art/record/53624?highlight=*:*"
"255","David Michie","Life Painting (Circa 1952)","https://collections.ed.ac.uk/art/record/20737?highlight=*:*"
"256","Jean Richie","Seated Male Nude reading newspaper (1960)","https://collections.ed.ac.uk/art/record/20791?highlight=*:*"
"257","Irene G. Thomson","Untitled - Standing Nude Female (1963-1964)","https://collections.ed.ac.uk/art/record/99419?highlight=*:*"
"258","John Johnstone","Standing Nude (1960)","https://collections.ed.ac.uk/art/record/21358?highlight=*:*"
"259","Barbara Mackie","Portrait of a Seated Woman","https://collections.ed.ac.uk/art/record/20999?highlight=*:*"
"260","Elizabeth Blackadder","Portrait of a Man (1954)","https://collections.ed.ac.uk/art/record/21408?highlight=*:*"
